275 cells to archive (of 278 requested)
[112/275] ok   h3_n020: VERIFIED t=0.48s
[113/275] ok   g6_n011: VERIFIED t=0.39s
[114/275] ok   h4_n012: VERIFIED t=0.3s
[115/275] ok   h3_n021: VERIFIED t=0.3s
[116/275] ok   g3_n016: VERIFIED t=0.31s
[117/275] ok   g5_n010: VERIFIED t=0.36s
[118/275] ok   h3_n022: VERIFIED t=0.31s
[119/275] ok   g3_n017: VERIFIED t=0.31s
[120/275] ok   h5_n012: VERIFIED t=0.35s
[121/275] ok   g4_n011: VERIFIED t=0.32s
[122/275] ok   h3_n023: VERIFIED t=0.39s
[123/275] ok   g3_n018: VERIFIED t=0.31s
[124/275] ok   h3_n024: VERIFIED t=0.35s
[125/275] ok   h4_n013: VERIFIED t=0.39s
[126/275] ok   h3_n025: VERIFIED t=0.37s
[127/275] ok   g4_n012: VERIFIED t=0.36s
[128/275] ok   g3_n019: VERIFIED t=0.46s
[129/275] ok   h3_n026: VERIFIED t=0.52s
[130/275] ok   g3_n020: VERIFIED t=0.31s
[131/275] ok   h3_n027: VERIFIED t=0.33s
[132/275] ok   h4_n014: VERIFIED t=0.41s
[133/275] ok   g5_n011: VERIFIED t=0.43s
[134/275] ok   g4_n013: VERIFIED t=0.38s
[135/275] ok   h3_n028: VERIFIED t=0.34s
[136/275] ok   g3_n021: VERIFIED t=0.37s
[137/275] ok   h5_n013: VERIFIED t=0.35s
[138/275] ok   g6_n012: VERIFIED t=0.38s
[139/275] ok   h3_n029: VERIFIED t=0.39s
[140/275] ok   g3_n022: VERIFIED t=0.38s
[141/275] ok   h4_n015: VERIFIED t=0.47s
[142/275] ok   h3_n030: VERIFIED t=0.46s
[143/275] ok   g4_n014: VERIFIED t=0.54s
[144/275] ok   h3_n031: VERIFIED t=0.54s
[145/275] ok   g3_n023: VERIFIED t=0.32s
[146/275] ok   h3_n032: VERIFIED t=0.42s
[147/275] ok   g4_n015: VERIFIED t=0.52s
[148/275] ok   g3_n024: VERIFIED t=0.37s
[149/275] ok   h3_n033: VERIFIED t=0.39s
[150/275] ok   h4_n016: VERIFIED t=0.53s
[151/275] ok   h5_n014: VERIFIED t=0.56s
[152/275] ok   g3_n025: VERIFIED t=0.34s
[153/275] ok   h3_n034: VERIFIED t=0.42s
[154/275] ok   g4_n016: VERIFIED t=0.65s
[155/275] ok   g5_n012: VERIFIED t=0.68s
[156/275] ok   h3_n035: VERIFIED t=0.51s
[157/275] ok   g3_n026: VERIFIED t=0.52s
[158/275] ok   h3_n036: VERIFIED t=0.59s
[159/275] ok   g4_n017: VERIFIED t=0.78s
[160/275] ok   g3_n027: VERIFIED t=0.47s
